A,B
104,296
105,106
105,107
105,108
105,109
105,111
105,199
106,107
106,108
106,109
106,110
106,111
106,126
107,108
107,109
107,110
107,111
107,112
107,114
107,247
108,109
108,110
108,111
108,112
108,114
108,169
108,121
109,111
109,112
109,113
109,114
109,116
109,240
110,111
110,112
110,113
110,114
110,116
111,114
111,115
111,116
111,280
111,272
111,295
112,113
112,114
112,115
112,116
112,118
112,126
113,114
113,115
113,116
113,118
114,115
114,116
114,117
114,118
114,119
114,120
115,116
115,117
115,118
115,120
116,117
116,118
116,119
116,120
116,121
117,118
117,119
118,119
118,120
118,121
118,122
118,123
119,120
119,122
119,123
119,124
119,127
120,121
120,122
120,123
120,124
120,127
121,122
121,123
121,124
121,127
121,259
122,123
122,124
122,125
122,126
122,127
123,124
123,125
123,126
123,127
124,125
124,126
124,127
124,128
125,126
125,127
125,128
126,127
126,128
126,129
127,129
127,130
127,131
127,133
127,134
127,204
127,140
128,129
128,130
128,131
128,132
128,258
128,207
129,130
129,132
129,133
130,132
130,133
130,134
131,132
131,133
131,134
131,135
131,219
132,133
132,134
132,135
132,136
132,208
133,134
133,135
133,137
133,138
134,135
134,136
134,137
134,138
134,140
134,141
135,136
135,137
135,138
135,139
135,140
135,141
135,227
135,242
136,137
136,138
136,139
136,140
136,141
136,256
137,138
137,139
137,140
137,141
137,159
138,139
138,141
138,142
139,140
139,141
139,142
139,143
139,144
140,141
140,142
140,144
140,244
141,142
141,143
141,144
141,145
141,146
141,147
141,207
142,143
142,144
142,145
142,146
142,147
143,144
143,145
143,146
143,147
143,274
144,145
144,146
144,147
144,148
144,149
145,146
145,147
145,148
145,149
145,267
145,236
146,147
146,148
146,149
146,150
146,151
147,148
147,149
147,151
148,149
148,150
148,151
148,152
149,150
149,151
149,152
149,153
150,152
150,155
151,152
151,153
151,154
151,155
151,156
152,153
152,154
152,155
152,156
153,154
153,155
153,156
154,155
154,157
154,182
155,156
155,158
155,159
155,271
156,157
156,158
156,160
156,161
157,158
157,159
157,160
157,161
157,267
158,160
158,161
158,162
158,197
159,160
159,161
159,163
159,239
160,161
160,162
160,163
160,165
161,162
161,163
161,164
161,261
162,163
162,164
162,165
162,166
163,164
163,166
163,167
164,165
164,166
164,167
164,168
164,246
165,166
165,167
165,168
165,169
165,170
165,192
166,167
166,168
166,169
166,170
167,168
167,169
167,170
167,171
168,169
168,170
168,171
168,172
168,275
169,170
169,171
169,172
170,171
170,172
170,173
171,172
171,173
171,174
171,177
172,173
172,174
172,175
172,177
173,174
173,175
173,176
173,177
174,175
174,176
174,177
174,180
174,181
175,176
175,177
175,178
175,179
175,180
175,181
175,243
176,177
176,178
176,179
176,180
176,181
177,178
177,179
177,180
177,181
177,182
178,179
178,180
178,181
178,182
179,180
179,181
179,182
179,184
180,181
180,182
180,183
180,185
181,182
181,183
181,184
181,185
181,186
181,187
181,189
182,183
182,184
182,185
182,186
182,187
182,189
182,245
183,184
183,185
183,186
183,187
183,189
184,185
184,186
184,188
184,189
184,265
185,186
185,187
185,189
185,190
186,187
186,188
186,189
186,190
186,191
187,188
187,189
187,190
187,191
188,189
188,190
188,191
188,192
189,190
189,191
189,192
189,193
189,194
189,195
189,196
190,191
190,192
190,193
190,194
191,192
191,193
191,194
191,196
191,299
192,193
192,194
192,195
192,196
192,244
193,194
193,195
193,196
193,197
194,195
194,196
194,197
194,199
194,238
195,196
195,197
195,198
195,199
196,197
196,198
196,199
196,200
197,198
197,199
197,200
197,201
197,202
198,199
198,200
198,201
198,202
199,200
199,201
199,203
199,204
200,202
200,203
200,204
201,202
201,203
201,204
201,205
201,207
202,203
202,204
202,205
202,206
202,207
203,204
203,205
203,207
204,205
204,206
204,207
204,208
204,209
205,206
205,207
205,209
206,207
206,208
206,209
207,208
207,209
207,211
208,209
208,210
208,211
208,212
209,210
209,211
209,212
209,213
210,211
210,213
210,214
210,215
211,212
211,213
211,215
211,216
211,217
212,213
212,214
212,216
212,217
212,224
213,214
213,215
213,216
213,217
214,215
214,216
214,217
215,216
215,217
215,218
215,219
216,217
216,218
216,219
216,220
216,221
217,218
217,219
217,220
217,221
217,222
218,219
218,220
218,221
219,220
219,221
219,222
220,221
220,222
220,223
220,249
221,222
221,223
221,224
221,226
221,254
222,223
222,224
222,225
222,226
223,224
223,225
223,226
223,227
223,261
224,225
224,226
224,227
224,229
225,226
225,227
225,228
225,229
226,227
226,228
226,229
226,230
227,228
227,230
227,231
227,232
227,234
228,229
228,230
228,231
228,232
228,234
229,230
229,231
229,232
229,233
229,234
230,231
230,232
230,233
230,234
231,232
231,233
231,234
231,235
231,237
232,233
232,234
232,235
232,236
232,237
233,234
233,235
233,236
233,237
233,238
234,235
234,236
234,237
234,238
234,239
234,240
235,236
235,237
235,238
235,239
236,237
236,239
236,240
236,241
236,243
237,239
237,240
237,241
237,243
238,239
238,240
238,241
238,242
238,243
239,240
239,241
239,243
239,244
240,241
240,242
240,243
240,245
241,242
241,243
241,244
242,243
242,245
243,244
243,248
243,249
244,246
244,247
244,248
245,246
245,247
245,250
245,252
245,264
246,248
246,250
246,251
246,252
247,248
247,249
247,250
247,252
247,254
247,256
247,294
248,249
248,250
248,251
248,252
248,254
248,255
249,250
249,252
249,254
249,255
250,251
250,252
250,253
250,254
250,255
251,252
251,253
251,254
251,255
251,256
252,253
252,254
252,255
252,256
252,258
253,254
253,255
253,257
253,258
254,255
254,256
254,257
254,258
254,259
254,287
255,256
255,257
255,258
255,259
255,260
255,261
256,257
256,258
256,259
256,260
257,258
257,259
257,260
257,261
258,259
258,260
258,261
258,262
258,265
259,260
259,261
259,262
259,265
260,261
260,262
260,263
260,264
260,265
261,262
261,265
262,263
262,264
262,265
262,267
263,264
263,265
263,266
263,267
264,265
264,266
264,267
264,268
264,271
265,266
265,267
265,268
265,269
265,270
265,271
266,267
266,268
266,269
266,270
267,268
267,269
267,270
267,271
267,273
268,269
268,270
268,271
268,272
268,273
269,270
269,271
269,272
270,271
270,273
270,274
271,272
271,273
271,275
271,276
271,277
272,273
272,274
272,275
272,276
272,277
273,274
273,275
273,276
273,278
274,275
274,276
274,278
274,279
275,276
275,278
275,279
276,277
276,278
276,279
277,278
277,279
277,280
277,281
278,279
278,280
278,281
278,282
278,283
278,284
279,280
279,281
279,282
279,283
279,284
280,281
280,282
280,283
281,282
281,283
281,284
281,285
282,283
282,284
282,285
282,286
283,284
283,285
283,286
283,287
284,285
284,286
284,287
284,288
284,289
285,286
285,287
285,288
285,289
286,287
286,288
286,289
286,291
287,288
287,289
287,290
287,291
287,292
288,289
288,290
288,291
288,292
289,291
289,292
289,293
290,291
290,292
290,293
291,292
291,293
291,295
291,296
292,293
292,295
292,296
293,294
293,295
293,296
293,297
294,295
294,296
294,297
294,298
295,297
295,298
296,297
296,298
296,299
297,298
297,299
298,299
